,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
89,6.46,8.01,0.00,1.00,0.55,Simulation,The Sims 3,PC,Electronic Arts,90,2009
90,3.87,8.00,0.66,2.57,0.90,Sports,Mario & Sonic at the Olympic Games,Wii,Sega,91,2007
91,1.53,7.97,2.49,3.44,0.51,Fighting,Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,92,2014
92,1.72,7.86,3.63,2.28,0.23,Role-Playing,Final Fantasy VIII,PS,SquareSoft,93,1999
93,0.45,7.81,0.00,7.28,0.08,Puzzle,Pac-Man,2600,Atari,94,1982
94,1.73,7.72,2.69,2.76,0.54,Role-Playing,Pokémon Platinum Version,DS,Nintendo,95,2008
95,2.83,7.72,0.24,2.90,1.74,Action,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,96,2005
96,3.50,7.65,0.25,2.69,1.21,Role-Playing,Fallout 4,PS4,Bethesda Softworks,97,2015
97,3.43,7.65,0.14,2.84,1.23,Shooter,Call of Duty: Advanced Warfare,PS4,Activision,98,2014
98,2.51,7.60,1.35,3.20,0.54,Racing,Mario Kart 8,WiiU,Nintendo,99,2014
99,3.37,7.60,0.19,2.83,1.22,Shooter,Call of Duty: Infinite Warfare,PS4,Activision,100,2016
100,1.89,7.60,1.45,4.10,0.16,Action,The Legend of Zelda: Ocarina of Time,N64,Nintendo,101,1998
101,2.17,7.58,1.31,3.78,0.31,Platform,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,102,1997
102,2.37,7.57,0.98,3.59,0.62,Platform,Super Mario Galaxy 2,Wii,Nintendo,103,2010
103,1.91,7.47,0.00,4.86,0.70,Shooter,Call of Duty: World at War,X360,Activision,104,2008
104,1.18,7.46,0.70,5.39,0.19,Platform,Super Mario Bros. 2,NES,Nintendo,105,1988
105,2.12,7.34,0.06,4.47,0.69,Shooter,Battlefield 3,X360,Electronic Arts,106,2011
106,2.08,7.30,0.02,4.52,0.67,Shooter,Call of Duty: Black Ops 3,XOne,Activision,107,2015
107,2.94,7.22,0.35,2.86,1.07,Shooter,Battlefield 3,PS3,Electronic Arts,108,2011
108,2.99,7.21,0.00,3.48,0.73,Misc,Just Dance,Wii,Ubisoft,109,2009
109,2.83,7.20,0.08,3.27,1.02,Racing,Need for Speed Underground,PS2,Electronic Arts,110,2003
110,2.16,7.18,0.60,3.74,0.68,Action,The Legend of Zelda: Twilight Princess,Wii,Nintendo,111,2006
111,2.22,7.16,1.40,3.27,0.29,Fighting,Tekken 3,PS,Sony Computer Entertainment,112,1998
112,1.75,7.13,1.42,3.68,0.28,Platform,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,113,1998
113,1.04,7.07,1.39,4.41,0.22,Fighting,Super Smash Bros. Melee,GC,Nintendo,114,2001
114,2.80,7.03,0.01,3.62,0.61,Action,Grand Theft Auto V,XOne,Take-Two Interactive,115,2014
115,3.54,6.95,0.29,2.06,1.07,Shooter,Battlefield 1,PS4,Electronic Arts,116,2016
116,1.77,6.95,0.87,4.12,0.19,Racing,Mario Kart: Double Dash!!,GC,Nintendo,117,2003
117,3.02,6.90,0.08,2.71,1.09,Racing,Need for Speed Underground 2,PS2,Electronic Arts,118,2004
118,2.75,6.83,0.17,2.93,0.99,Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,119,2002
119,2.35,6.82,0.94,3.23,0.30,Platform,Crash Bandicoot,PS,Sony Computer Entertainment,120,1996
120,2.21,6.81,0.00,4.05,0.55,Misc,Just Dance 4,Wii,Ubisoft,121,2012
121,2.81,6.78,0.19,2.77,1.01,Action,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,122,2011
122,1.91,6.75,0.06,4.15,0.64,Shooter,Gears of War 2,X360,Microsoft Game Studios,123,2008
123,2.62,6.75,0.00,3.47,0.66,Sports,Zumba Fitness,Wii,505 Games,124,2010
124,2.27,6.71,0.28,3.12,1.03,Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,125,2007
125,2.22,6.70,0.21,3.28,0.98,Action,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,126,2009
126,4.33,6.66,0.11,0.84,1.38,Sports,FIFA 12,PS3,Electronic Arts,127,2011
127,2.75,6.63,1.60,1.66,0.62,Misc,Big Brain Academy,DS,Nintendo,128,2005
128,4.77,6.61,0.07,0.79,0.98,Sports,FIFA 14,PS3,Electronic Arts,129,2013
129,2.58,6.56,0.17,2.81,0.99,Action,Red Dead Redemption,PS3,Take-Two Interactive,130,2010
130,0.93,6.51,1.69,3.74,0.14,Action,The Legend of Zelda,NES,Nintendo,131,1986
131,1.81,6.50,1.03,3.19,0.47,Platform,Donkey Kong Country Returns,Wii,Nintendo,132,2010
132,2.61,6.50,0.16,2.65,1.07,Action,Assassin's Creed III,PS3,Ubisoft,133,2012
133,2.68,6.49,0.25,2.56,0.99,Role-Playing,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,134,2011
134,1.30,6.43,0.08,4.98,0.07,Shooter,Halo: Combat Evolved,XB,Microsoft Game Studios,135,2001
135,1.58,6.41,2.06,2.57,0.21,Role-Playing,Pokémon Emerald Version,GBA,Nintendo,136,2004
136,2.00,6.41,0.09,3.73,0.58,Action,Red Dead Redemption,X360,Take-Two Interactive,137,2010
137,1.20,6.40,1.49,3.64,0.07,Role-Playing,Kingdom Hearts,PS2,Sony Computer Entertainment,138,2002
138,1.56,6.39,1.29,2.55,0.99,Role-Playing,Pokémon Crystal Version,GB,Nintendo,139,2000
139,1.34,6.35,0.06,4.34,0.61,Shooter,Halo 3: ODST,X360,Microsoft Game Studios,140,2009
140,6.22,6.33,0.00,0.10,0.00,Role-Playing,World of Warcraft,PC,Activision,141,2004
141,1.26,6.31,0.87,4.01,0.17,Platform,Super Mario Sunshine,GC,Nintendo,142,2002
142,0.83,6.30,2.87,2.47,0.12,Fighting,Street Fighter II: The World Warrior,SNES,Capcom,143,1992
143,2.80,6.27,0.02,3.11,0.33,Action,Driver,PS,GT Interactive,144,1999
144,4.45,6.24,0.05,0.81,0.93,Sports,FIFA 15,PS4,Electronic Arts,145,2014
145,1.59,6.22,0.07,4.05,0.50,Shooter,Gears of War 3,X360,Microsoft Game Studios,146,2011
146,1.73,6.19,0.03,3.92,0.51,Sports,Kinect Sports,X360,Microsoft Game Studios,147,2010
147,2.48,6.16,0.29,2.41,0.97,Action,The Last of Us,PS3,Sony Computer Entertainment Europe,148,2013
148,1.88,6.10,0.07,3.54,0.60,Shooter,Gears of War,X360,Microsoft Game Studios,149,2006
149,2.01,6.05,0.87,2.45,0.72,Action,Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,150,2001
150,1.20,6.03,0.16,4.47,0.19,Platform,Sonic the Hedgehog 2,GEN,Sega,151,1992
151,1.83,6.03,0.78,3.18,0.24,Action,Metal Gear Solid,PS,Konami Digital Entertainment,152,1998
152,1.72,6.00,0.83,2.63,0.82,Action,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,153,2008
153,0.00,5.95,2.33,1.88,1.74,Role-Playing,Final Fantasy XII,PS2,Square Enix,154,2006
154,2.01,5.85,0.17,2.80,0.87,Platform,LittleBigPlanet,PS3,Sony Computer Entertainment,155,2008
155,2.20,5.83,0.16,2.51,0.95,Shooter,Destiny,PS4,Activision,156,2014
156,2.73,5.83,0.00,2.15,0.95,Misc,Minecraft,PS3,Sony Computer Entertainment,157,2014
157,1.47,5.82,2.02,1.88,0.45,Action,Resident Evil 2,PS,Virgin Interactive,158,1998
158,0.67,5.79,4.35,0.63,0.15,Role-Playing,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,159,2009
159,2.45,5.75,0.08,2.29,0.94,Action,The Last of Us,PS4,Sony Computer Entertainment,160,2014
160,1.89,5.74,1.36,2.26,0.23,Fighting,Tekken 2,PS,Sony Computer Entertainment,161,1996
161,2.41,5.66,1.96,1.02,0.27,Simulation,Tomodachi Life,3DS,Nintendo,162,2013
162,1.57,5.65,0.00,3.57,0.51,Action,LEGO Star Wars: The Complete Saga,Wii,LucasArts,163,2007
163,1.92,5.65,0.07,3.08,0.58,Simulation,Cooking Mama,DS,505 Games,164,2006
164,0.69,5.58,1.81,2.97,0.11,Puzzle,Tetris,NES,Nintendo,165,1988
165,1.62,5.57,1.31,2.30,0.35,Platform,New Super Mario Bros. U,WiiU,Nintendo,166,2012
166,1.95,5.57,0.21,2.54,0.86,Action,Assassin's Creed II,PS3,Ubisoft,167,2009
167,0.60,5.55,1.97,2.95,0.04,Fighting,Super Smash Bros.,N64,Nintendo,168,1999
168,1.64,5.55,0.07,3.28,0.56,Adventure,Assassin's Creed,X360,Ubisoft,169,2007
169,1.89,5.53,0.11,2.72,0.82,Action,Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,170,2011
170,0.57,5.50,4.13,0.47,0.34,Role-Playing,Monster Hunter Freedom Unite,PSP,Capcom,171,2008
171,1.90,5.49,0.10,2.99,0.50,Racing,Forza Motorsport 3,X360,Microsoft Game Studios,172,2009
